ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000183655	64410	KLHL25	kelch like family member 25
ENSG00000183662	407738	FAM19A1	family with sequence similarity 19 member A1, C-C motif chemokine like
ENSG00000183665	55039	TRMT12	tRNA methyltransferase 12 homolog
ENSG00000183666	728411	GUSBP1	glucuronidase, beta pseudogene 1
ENSG00000183668	5678	PSG9	pregnancy specific beta-1-glycoprotein 9
ENSG00000183671	2825	GPR1	G protein-coupled receptor 1
ENSG00000183682	353500	BMP8A	bone morphogenetic protein 8a
ENSG00000183684	10189	ALYREF	Aly/REF export factor
ENSG00000183688	359845	RFLNB	refilin B
ENSG00000183690	80258	EFHC2	EF-hand domain containing 2
ENSG00000183691	9241	NOG	noggin
ENSG00000183695	117194	MRGPRX2	MAS related GPR family member X2
ENSG00000183696	7378	UPP1	uridine phosphorylase 1
ENSG00000183706	283694	OR4N4	olfactory receptor family 4 subfamily N member 4
ENSG00000183709	282616	IFNL2	interferon lambda 2
ENSG00000183715	4978	OPCML	opioid binding protein/cell adhesion molecule like
ENSG00000183718	84851	TRIM52	tripartite motif containing 52
ENSG00000183722	10186	LHFP	lipoma HMGIC fusion partner
ENSG00000183723	146223	CMTM4	CKLF like MARVEL transmembrane domain containing 4
ENSG00000183726	23585	TMEM50A	transmembrane protein 50A
ENSG00000183729	2831	NPBWR1	neuropeptides B and W receptor 1
ENSG00000183733	344018	FIGLA	folliculogenesis specific bHLH transcription factor
ENSG00000183734	430	ASCL2	achaete-scute family bHLH transcription factor 2
ENSG00000183735	29110	TBK1	TANK binding kinase 1
ENSG00000183741	23466	CBX6	chromobox 6
ENSG00000183742	346389	MACC1	MACC1, MET transcriptional regulator
ENSG00000183747	123876	ACSM2A	acyl-CoA synthetase medium-chain family member 2A
ENSG00000183751	10607	TBL3	transducin beta like 3
ENSG00000183753	9083	BPY2	basic charge, Y-linked, 2
ENSG00000183760	390928	ACP7	acid phosphatase 7, tartrate resistant (putative)
ENSG00000183762	83999	KREMEN1	kringle containing transmembrane protein 1
ENSG00000183763	10293	TRAIP	TRAF interacting protein
ENSG00000183765	11200	CHEK2	checkpoint kinase 2
ENSG00000183770	668	FOXL2	forkhead box L2
ENSG00000183773	150209	AIFM3	apoptosis inducing factor, mitochondria associated 3
ENSG00000183775	57528	KCTD16	potassium channel tetramerization domain containing 16
ENSG00000183778	10317	B3GALT5	beta-1,3-galactosyltransferase 5
ENSG00000183779	80139	ZNF703	zinc finger protein 703
ENSG00000183780	148641	SLC35F3	solute carrier family 35 member F3
ENSG00000183783	386617	KCTD8	potassium channel tetramerization domain containing 8
ENSG00000183784	157983	C9orf66	chromosome 9 open reading frame 66
ENSG00000183785	51807	TUBA8	tubulin alpha 8
ENSG00000183791	162699	TCEB3C	transcription elongation factor B subunit 3C
ENSG00000183793	9284	NPIPA1	nuclear pore complex interacting protein family member A1
ENSG00000183795	442867	BPY2B	basic charge, Y-linked, 2B
ENSG00000183798	90187	EMILIN3	elastin microfibril interfacer 3
ENSG00000183801	283298	OLFML1	olfactomedin like 1
ENSG00000183807	221303	FAM162B	family with sequence similarity 162 member B
ENSG00000183808	389677	RBM12B	RNA binding motif protein 12B
ENSG00000183813	1233	CCR4	C-C motif chemokine receptor 4
ENSG00000183814	286826	LIN9	lin-9 DREAM MuvB core complex component
ENSG00000183822	107985578	NCF4-AS1	NCF4 antisense RNA 1
ENSG00000183826	114781	BTBD9	BTB domain containing 9
ENSG00000183828	256281	NUDT14	nudix hydrolase 14
ENSG00000183831	339416	ANKRD45	ankyrin repeat domain 45
ENSG00000183833	89876	MAATS1	MYCBP associated and testis expressed 1
ENSG00000183837	29944	PNMA3	paraneoplastic Ma antigen 3
ENSG00000183840	2863	GPR39	G protein-coupled receptor 39
ENSG00000183844	54097	FAM3B	family with sequence similarity 3 member B
ENSG00000183850	100129543	ZNF730	zinc finger protein 730
ENSG00000183853	55243	KIRREL	kin of IRRE like (Drosophila)
ENSG00000183856	128239	IQGAP3	IQ motif containing GTPase activating protein 3
ENSG00000183862	1260	CNGA2	cyclic nucleotide gated channel alpha 2
ENSG00000183864	10766	TOB2	transducer of ERBB2, 2
ENSG00000183873	6331	SCN5A	sodium voltage-gated channel alpha subunit 5
ENSG00000183876	340075	ARSI	arylsulfatase family member I
ENSG00000183878	7404	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
ENSG00000183888	149563	C1orf64	chromosome 1 open reading frame 64
ENSG00000183889	9284	NPIPA1	nuclear pore complex interacting protein family member A1
ENSG00000183891	130502	TTC32	tetratricopeptide repeat domain 32
ENSG00000183908	219527	LRRC55	leucine rich repeat containing 55
ENSG00000183914	146754	DNAH2	dynein axonemal heavy chain 2
ENSG00000183918	4068	SH2D1A	SH2 domain containing 1A
ENSG00000183935	93164	HTR7P1	5-hydroxytryptamine receptor 7 pseudogene 1
ENSG00000183943	5613	PRKX	protein kinase, X-linked
ENSG00000183955	387893	KMT5A	lysine methyltransferase 5A
ENSG00000183960	131096	KCNH8	potassium voltage-gated channel subfamily H member 8
ENSG00000183963	6525	SMTN	smoothelin
ENSG00000183971	283869	NPW	neuropeptide W
ENSG00000183977	151649	PP2D1	protein phosphatase 2C like domain containing 1
ENSG00000183978	28958	COA3	cytochrome c oxidase assembly factor 3
ENSG00000183979	256933	NPB	neuropeptide B
ENSG00000184005	256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
ENSG00000184007	8073	PTP4A2	protein tyrosine phosphatase type IVA, member 2
ENSG00000184009	71	ACTG1	actin gamma 1
ENSG00000184012	7113	TMPRSS2	transmembrane protease, serine 2
ENSG00000184014	23258	DENND5A	DENN domain containing 5A
ENSG00000184022	127069	OR2T10	olfactory receptor family 2 subfamily T member 10
ENSG00000184029	10281	DSCR4	Down syndrome critical region 4
ENSG00000184032	337976	KRTAP20-2	keratin associated protein 20-2
ENSG00000184033	1485	CTAG1B	cancer/testis antigen 1B
ENSG00000184047	56616	DIABLO	diablo IAP-binding mitochondrial protein
ENSG00000184056	26276	VPS33B	VPS33B, late endosome and lysosome associated
ENSG00000184058	6899	TBX1	T-box 1
ENSG00000184060	55803	ADAP2	ArfGAP with dual PH domains 2
ENSG00000184076	29796	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X
ENSG00000184083	54954	FAM120C	family with sequence similarity 120C
ENSG00000184106	340206	TREML3P	triggering receptor expressed on myeloid cells like 3, pseudogene
ENSG00000184108	339976	TRIML1	tripartite motif family like 1
ENSG00000184110	8663	EIF3C	eukaryotic translation initiation factor 3 subunit C
ENSG00000184113	7122	CLDN5	claudin 5
ENSG00000184115	100288570	LOC100288570	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) pseudogene
ENSG00000184117	8508	NIPSNAP1	nipsnap homolog 1
ENSG00000184140	390648	OR4F6	olfactory receptor family 4 subfamily F member 6
ENSG00000184144	6900	CNTN2	contactin 2
ENSG00000184148	163778	SPRR4	small proline rich protein 4
ENSG00000184154	220074	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing
ENSG00000184155	127385	OR10J5	olfactory receptor family 10 subfamily J member 5
ENSG00000184156	3786	KCNQ3	potassium voltage-gated channel subfamily Q member 3
ENSG00000184160	152	ADRA2C	adrenoceptor alpha 2C
ENSG00000184162	126382	NR2C2AP	nuclear receptor 2C2 associated protein
ENSG00000184163	388581	C1QTNF12	C1q and TNF related 12
ENSG00000184164	79174	CRELD2	cysteine rich with EGF like domains 2
ENSG00000184166	4991	OR1D2	olfactory receptor family 1 subfamily D member 2
ENSG00000184178	152579	SCFD2	sec1 family domain containing 2
ENSG00000184182	140739	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
ENSG00000184185	3768	KCNJ12	potassium voltage-gated channel subfamily J member 12
ENSG00000184194	54328	GPR173	G protein-coupled receptor 173
ENSG00000184203	5504	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2
ENSG00000184205	64061	TSPYL2	TSPY like 2
ENSG00000184206	643707	GOLGA6L4	golgin A6 family-like 4
ENSG00000184207	283871	PGP	phosphoglycolate phosphatase
ENSG00000184208	79640	C22orf46	chromosome 22 open reading frame 46
ENSG00000184209	11066	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35
ENSG00000184210	347516	DGAT2L6	diacylglycerol O-acyltransferase 2 like 6
ENSG00000184216	3654	IRAK1	interleukin 1 receptor associated kinase 1
ENSG00000184220	84319	CMSS1	cms1 ribosomal small subunit homolog (yeast)
ENSG00000184221	116448	OLIG1	oligodendrocyte transcription factor 1
ENSG00000184224	100505621	C11orf72	chromosome 11 open reading frame 72
ENSG00000184226	5101	PCDH9	protocadherin 9
ENSG00000184227	641371	ACOT1	acyl-CoA thioesterase 1
ENSG00000184232	220323	OAF	out at first homolog
ENSG00000184254	220	ALDH1A3	aldehyde dehydrogenase 1 family member A3
ENSG00000184258	1038	CDR1	cerebellar degeneration related protein 1
ENSG00000184260	8338	HIST2H2AC	histone cluster 2 H2A family member c
ENSG00000184261	56660	KCNK12	potassium two pore domain channel subfamily K member 12
ENSG00000184270	317772	HIST2H2AB	histone cluster 2 H2A family member b
ENSG00000184271	5463	POU6F1	POU class 6 homeobox 1
ENSG00000184276	245911	DEFB108B	defensin beta 108B
ENSG00000184277	80213	TM2D3	TM2 domain containing 3
ENSG00000184281	10078	TSSC4	tumor suppressing subtransferable candidate 4
ENSG00000184292	4070	TACSTD2	tumor associated calcium signal transducer 2
ENSG00000184293	160365	CLECL1	C-type lectin like 1
ENSG00000184302	4990	SIX6	SIX homeobox 6
ENSG00000184304	5587	PRKD1	protein kinase D1
ENSG00000184305	401145	CCSER1	coiled-coil serine rich protein 1
ENSG00000184307	254887	ZDHHC23	zinc finger DHHC-type containing 23
ENSG00000184313	374977	MROH7	maestro heat like repeat family member 7
ENSG00000184321	79470	OR51J1	olfactory receptor family 51 subfamily J member 1 (gene/pseudogene)
ENSG00000184330	338324	S100A7A	S100 calcium binding protein A7A
ENSG00000184343	26576	SRPK3	SRSF protein kinase 3
ENSG00000184344	9573	GDF3	growth differentiation factor 3
ENSG00000184345	389123	IQCF2	IQ motif containing F2
ENSG00000184347	6586	SLIT3	slit guidance ligand 3
ENSG00000184349	1946	EFNA5	ephrin A5
ENSG00000184350	116534	MRGPRE	MAS related GPR family member E
ENSG00000184351	337882	KRTAP19-1	keratin associated protein 19-1
ENSG00000184357	3009	HIST1H1B	histone cluster 1 H1 family member b
ENSG00000184361	124783	SPATA32	spermatogenesis associated 32
ENSG00000184363	11187	PKP3	plakophilin 3
ENSG00000184368	256714	MAP7D2	MAP7 domain containing 2
ENSG00000184371	1435	CSF1	colony stimulating factor 1
ENSG00000184374	10584	COLEC10	collectin subfamily member 10
ENSG00000184378	84517	ACTRT3	actin related protein T3
ENSG00000184381	8398	PLA2G6	phospholipase A2 group VI
ENSG00000184384	84441	MAML2	mastermind like transcriptional coactivator 2
ENSG00000184385	150147	UMODL1-AS1	UMODL1 antisense RNA 1
ENSG00000184388	645974	PABPC1L2B	poly(A) binding protein cytoplasmic 1 like 2B
ENSG00000184389	127550	A3GALT2	alpha 1,3-galactosyltransferase 2
ENSG00000184394	390437	OR4N5	olfactory receptor family 4 subfamily N member 5
ENSG00000184402	26039	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit
ENSG00000184408	3751	KCND2	potassium voltage-gated channel subfamily D member 2
ENSG00000184428	116447	TOP1MT	topoisomerase (DNA) I, mitochondrial
ENSG00000184432	9276	COPB2	coatomer protein complex subunit beta 2
ENSG00000184434	64922	LRRC19	leucine rich repeat containing 19
ENSG00000184436	80764	THAP7	THAP domain containing 7
ENSG00000184445	9735	KNTC1	kinetochore associated 1
ENSG00000184451	2826	CCR10	C-C motif chemokine receptor 10
ENSG00000184454	400746	NCMAP	non-compact myelin associated protein
ENSG00000184459	254240	BPIFC	BPI fold containing family C
ENSG00000184465	253769	WDR27	WD repeat domain 27
ENSG00000184470	10587	TXNRD2	thioredoxin reductase 2
ENSG00000184471	390664	C1QTNF8	C1q and TNF related 8
ENSG00000184478	390083	OR56A3	olfactory receptor family 56 subfamily A member 3
ENSG00000184481	4303	FOXO4	forkhead box O4
ENSG00000184486	5454	POU3F2	POU class 3 homeobox 2
ENSG00000184489	11156	PTP4A3	protein tyrosine phosphatase type IVA, member 3
ENSG00000184492	200350	FOXD4L1	forkhead box D4-like 1
ENSG00000184497	348013	TMEM255B	transmembrane protein 255B
ENSG00000184500	5627	PROS1	protein S (alpha)
ENSG00000184502	2520	GAST	gastrin
ENSG00000184507	256646	NUTM1	NUT midline carcinoma family member 1
ENSG00000184508	374659	HDDC3	HD domain containing 3
ENSG00000184515	340542	BEX5	brain expressed X-linked 5
ENSG00000184517	162239	ZFP1	ZFP1 zinc finger protein
ENSG00000184524	51286	CEND1	cell cycle exit and neuronal differentiation 1
ENSG00000184530	352999	C6orf58	chromosome 6 open reading frame 58
ENSG00000184544	201140	DHRS7C	dehydrogenase/reductase 7C
ENSG00000184545	1850	DUSP8	dual specificity phosphatase 8
ENSG00000184557	9021	SOCS3	suppressor of cytokine signaling 3
ENSG00000184560	201243	C17orf74	chromosome 17 open reading frame 74
ENSG00000184564	84189	SLITRK6	SLIT and NTRK like family member 6
ENSG00000184571	440822	PIWIL3	piwi like RNA-mediated gene silencing 3
ENSG00000184574	57121	LPAR5	lysophosphatidic acid receptor 5
ENSG00000184575	11260	XPOT	exportin for tRNA
ENSG00000184584	340061	TMEM173	transmembrane protein 173
ENSG00000184588	5142	PDE4B	phosphodiesterase 4B
ENSG00000184599	284467	FAM19A3	family with sequence similarity 19 member A3, C-C motif chemokine like
ENSG00000184601	400258	C14orf180	chromosome 14 open reading frame 180
ENSG00000184602	8303	SNN	stannin
ENSG00000184608	83656	FAM167A-AS1	FAM167A antisense RNA 1
ENSG00000184611	90134	KCNH7	potassium voltage-gated channel subfamily H member 7
ENSG00000184613	4753	NELL2	neural EGFL like 2
ENSG00000184619	124751	KRBA2	KRAB-A domain containing 2
ENSG00000184634	9968	MED12	mediator complex subunit 12
ENSG00000184635	81931	ZNF93	zinc finger protein 93
ENSG00000184640	10801	SEPT9	septin 9
ENSG00000184647	203074	PRSS55	protease, serine 55
ENSG00000184650	146852	ODF4	outer dense fiber of sperm tails 4
ENSG00000184659	349334	FOXD4L4	forkhead box D4-like 4
ENSG00000184661	157313	CDCA2	cell division cycle associated 2
ENSG00000184669	10819	OR7E14P	olfactory receptor family 7 subfamily E member 14 pseudogene
ENSG00000184672	138046	RALYL	RALY RNA binding protein-like
ENSG00000184675	139285	AMER1	APC membrane recruitment protein 1
ENSG00000184677	9923	ZBTB40	zinc finger and BTB domain containing 40
ENSG00000184678	8349	HIST2H2BE	histone cluster 2 H2B family member e
ENSG00000184697	9074	CLDN6	claudin 6
ENSG00000184698	390059	OR51M1	olfactory receptor family 51 subfamily M member 1
ENSG00000184702	5413	SEPT5	septin 5
ENSG00000184708	56478	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1
ENSG00000184709	389816	LRRC26	leucine rich repeat containing 26
ENSG00000184716	619189	SERINC4	serine incorporator 4
ENSG00000184719	55328	RNLS	renalase, FAD dependent amine oxidase
ENSG00000184724	337966	KRTAP6-1	keratin associated protein 6-1
ENSG00000184730	55911	APOBR	apolipoprotein B receptor
ENSG00000184731	642273	FAM110C	family with sequence similarity 110 member C
ENSG00000184735	168400	DDX53	DEAD-box helicase 53
ENSG00000184743	25923	ATL3	atlastin GTPase 3
ENSG00000184752	55967	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12
ENSG00000184774	641515	MGAT4EP	MGAT4 family member E, pseudogene
ENSG00000184785	644538	SMIM10	small integral membrane protein 10
ENSG00000184786	6991	TCTE3	t-complex-associated-testis-expressed 3
ENSG00000184787	7327	UBE2G2	ubiquitin conjugating enzyme E2 G2
ENSG00000184788	340562	SATL1	spermidine/spermine N1-acetyl transferase-like 1
ENSG00000184792	23762	OSBP2	oxysterol binding protein 2
ENSG00000184809	114041	B3GALT5-AS1	B3GALT5 antisense RNA 1
ENSG00000184811	286753	TUSC5	tumor suppressor candidate 5
ENSG00000184814	389151	PRR23B	proline rich 23B
ENSG00000184828	201501	ZBTB7C	zinc finger and BTB domain containing 7C
ENSG00000184831	79135	APOO	apolipoprotein O
ENSG00000184838	51334	PRR16	proline rich 16
ENSG00000184840	54732	TMED9	transmembrane p24 trafficking protein 9
ENSG00000184845	1812	DRD1	dopamine receptor D1
ENSG00000184856	54143	LINC00308	long intergenic non-protein coding RNA 308
ENSG00000184857	25880	TMEM186	transmembrane protein 186
ENSG00000184860	93517	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1
ENSG00000184863	155435	RBM33	RNA binding motif protein 33
ENSG00000184867	9823	ARMCX2	armadillo repeat containing, X-linked 2
ENSG00000184887	90135	BTBD6	BTB domain containing 6
ENSG00000184895	6736	SRY	sex determining region Y
ENSG00000184897	8971	H1FX	H1 histone family member X
ENSG00000184898	375287	RBM43	RNA binding motif protein 43
ENSG00000184900	6612	SUMO3	small ubiquitin-like modifier 3
ENSG00000184903	83943	IMMP2L	inner mitochondrial membrane peptidase subunit 2
ENSG00000184905	140597	TCEAL2	transcription elongation factor A like 2
ENSG00000184906	101929583	LOC101929583	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene
ENSG00000184908	1188	CLCNKB	chloride voltage-gated channel Kb
ENSG00000184911	728656	DMRTC1B	DMRT like family C1B
ENSG00000184916	3714	JAG2	jagged 2
ENSG00000184922	752	FMNL1	formin like 1
ENSG00000184923	728118	NUTM2A	NUT family member 2A
ENSG00000184924	391356	PTRHD1	peptidyl-tRNA hydrolase domain containing 1
ENSG00000184925	286256	LCN12	lipocalin 12
ENSG00000184933	8590	OR6A2	olfactory receptor family 6 subfamily A member 2
ENSG00000184937	7490	WT1	Wilms tumor 1
ENSG00000184939	146198	ZFP90	ZFP90 zinc finger protein
ENSG00000184945	375318	AQP12A	aquaporin 12A
ENSG00000184949	646851	FAM227A	family with sequence similarity 227 member A
ENSG00000184954	390327	OR6C70	olfactory receptor family 6 subfamily C member 70
ENSG00000184956	4588	MUC6	mucin 6, oligomeric mucus/gel-forming
ENSG00000184967	79050	NOC4L	nucleolar complex associated 4 homolog
ENSG00000184979	11274	USP18	ubiquitin specific peptidase 18
ENSG00000184983	4700	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6
ENSG00000184984	1133	CHRM5	cholinergic receptor muscarinic 5
ENSG00000184985	57537	SORCS2	sortilin related VPS10 domain containing receptor 2
ENSG00000184986	80757	TMEM121	transmembrane protein 121
ENSG00000184988	113277	TMEM106A	transmembrane protein 106A
ENSG00000184990	10572	SIVA1	SIVA1 apoptosis inducing factor
ENSG00000184991	83868	TTTY13	testis-specific transcript, Y-linked 13 (non-protein coding)
ENSG00000184992	140707	BRI3BP	BRI3 binding protein
ENSG00000184995	338376	IFNE	interferon epsilon
ENSG00000184999	387775	SLC22A10	solute carrier family 22 member 10
ENSG00000185000	8694	DGAT1	diacylglycerol O-acyltransferase 1
ENSG00000185002	222546	RFX6	regulatory factor X6
ENSG00000185008	6092	ROBO2	roundabout guidance receptor 2
ENSG00000185009	26985	AP3M1	adaptor related protein complex 3 mu 1 subunit
ENSG00000185010	2157	F8	coagulation factor VIII
ENSG00000185013	93034	NT5C1B	5'-nucleotidase, cytosolic IB
ENSG00000185015	377677	CA13	carbonic anhydrase 13
ENSG00000185019	22888	UBOX5	U-box domain containing 5
ENSG00000185022	23764	MAFF	MAF bZIP transcription factor F
ENSG00000185024	2972	BRF1	BRF1, RNA polymerase III transcription initiation factor subunit
ENSG00000185028	389257	LRRC14B	leucine rich repeat containing 14B
ENSG00000185033	10509	SEMA4B	semaphorin 4B
ENSG00000185037	643955	ZNF733P	zinc finger protein 733, pseudogene
ENSG00000185038	339766	MROH2A	maestro heat like repeat family member 2A
ENSG00000185040	100505767	SPDYE18	speedy/RINGO cell cycle regulator family member E18
ENSG00000185043	10519	CIB1	calcium and integrin binding 1
ENSG00000185046	56899	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B
ENSG00000185049	7469	NELFA	negative elongation factor complex member A
ENSG00000185052	57419	SLC24A3	solute carrier family 24 member 3
ENSG00000185053	137868	SGCZ	sarcoglycan zeta
ENSG00000185055	100130771	EFCAB10	EF-hand calcium binding domain 10
ENSG00000185056	133491	C5orf47	chromosome 5 open reading frame 47
ENSG00000185069	51350	KRT76	keratin 76
ENSG00000185070	23768	FLRT2	fibronectin leucine rich transmembrane protein 2
ENSG00000185085	80789	INTS5	integrator complex subunit 5
ENSG00000185087	283777	FAM169B	family with sequence similarity 169 member B
ENSG00000185088	51065	RPS27L	ribosomal protein S27 like
ENSG00000185090	149175	MANEAL	mannosidase endo-alpha like
ENSG00000185100	122622	ADSSL1	adenylosuccinate synthase like 1
ENSG00000185101	338440	ANO9	anoctamin 9
ENSG00000185104	11124	FAF1	Fas associated factor 1
ENSG00000185105	255275	MYADML2	myeloid associated differentiation marker like 2
ENSG00000185112	131583	FAM43A	family with sequence similarity 43 member A
ENSG00000185115	56160	NSMCE3	NSE3 homolog, SMC5-SMC6 complex component
ENSG00000185122	3297	HSF1	heat shock transcription factor 1
ENSG00000185127	387263	C6orf120	chromosome 6 open reading frame 120
ENSG00000185129	5813	PURA	purine rich element binding protein A
ENSG00000185130	8340	HIST1H2BL	histone cluster 1 H2B family member l
ENSG00000185133	27124	INPP5J	inositol polyphosphate-5-phosphatase J
ENSG00000185149	4887	NPY2R	neuropeptide Y receptor Y2
ENSG00000185155	83881	MIXL1	Mix paired-like homeobox
ENSG00000185156	162387	MFSD6L	major facilitator superfamily domain containing 6 like
ENSG00000185158	114659	LRRC37B	leucine rich repeat containing 37B
ENSG00000185163	317781	DDX51	DEAD-box helicase 51
ENSG00000185164	283820	NOMO2	NODAL modulator 2
ENSG00000185176	653437	AQP12B	aquaporin 12B
ENSG00000185177	90827	ZNF479	zinc finger protein 479
ENSG00000185186	114038	LINC00313	long intergenic non-protein coding RNA 313
ENSG00000185187	59307	SIGIRR	single Ig and TIR domain containing
ENSG00000185189	340371	NRBP2	nuclear receptor binding protein 2
ENSG00000185198	400668	PRSS57	protease, serine 57
ENSG00000185201	10581	IFITM2	interferon induced transmembrane protein 2
ENSG00000185215	7127	TNFAIP2	TNF alpha induced protein 2
ENSG00000185219	353274	ZNF445	zinc finger protein 445
ENSG00000185220	267002	PGBD2	piggyBac transposable element derived 2
ENSG00000185222	51186	TCEAL9	transcription elongation factor A like 9
ENSG00000185231	4158	MC2R	melanocortin 2 receptor
ENSG00000185236	9230	RAB11B	RAB11B, member RAS oncogene family
ENSG00000185238	10196	PRMT3	protein arginine methyltransferase 3
ENSG00000185245	2811	GP1BA	glycoprotein Ib platelet alpha subunit
ENSG00000185246	55015	PRPF39	pre-mRNA processing factor 39
ENSG00000185247	4110	MAGEA11	MAGE family member A11
ENSG00000185250	285755	PPIL6	peptidylprolyl isomerase like 6
ENSG00000185252	7625	ZNF74	zinc finger protein 74
ENSG00000185261	285600	KIAA0825	KIAA0825
ENSG00000185262	283991	UBALD2	UBA like domain containing 2
ENSG00000185264	339669	TEX33	testis expressed 33
ENSG00000185267	441549	CDNF	cerebral dopamine neurotrophic factor
ENSG00000185269	147111	NOTUM	NOTUM, palmitoleoyl-protein carboxylesterase
ENSG00000185271	123103	KLHL33	kelch like family member 33
ENSG00000185272	54033	RBM11	RNA binding motif protein 11
ENSG00000185274	64409	WBSCR17	Williams-Beuren syndrome chromosome region 17
ENSG00000185278	84614	ZBTB37	zinc finger and BTB domain containing 37
ENSG00000185290	389493	NUPR2	nuclear protein 2, transcriptional regulator
ENSG00000185291	3563	IL3RA	interleukin 3 receptor subunit alpha
ENSG00000185294	162540	SPPL2C	signal peptide peptidase like 2C
ENSG00000185298	339230	CCDC137	coiled-coil domain containing 137
ENSG00000185303	729238	SFTPA2	surfactant protein A2
ENSG00000185304	729857	RGPD2	RANBP2-like and GRIP domain containing 2
ENSG00000185305	54622	ARL15	ADP ribosylation factor like GTPase 15
ENSG00000185306	115749	C12orf56	chromosome 12 open reading frame 56
ENSG00000185313	6336	SCN10A	sodium voltage-gated channel alpha subunit 10
ENSG00000185324	8558	CDK10	cyclin dependent kinase 10
ENSG00000185332	284186	TMEM105	transmembrane protein 105
ENSG00000185338	8651	SOCS1	suppressor of cytokine signaling 1
ENSG00000185339	6948	TCN2	transcobalamin 2
ENSG00000185340	10634	GAS2L1	growth arrest specific 2 like 1
ENSG00000185344	23545	ATP6V0A2	ATPase H+ transporting V0 subunit a2
ENSG00000185345	5071	PRKN	parkin RBR E3 ubiquitin protein ligase
ENSG00000185347	283643	C14orf80	chromosome 14 open reading frame 80
ENSG00000185352	266722	HS6ST3	heparan sulfate 6-O-sulfotransferase 3
ENSG00000185359	9146	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
ENSG00000185361	126282	TNFAIP8L1	TNF alpha induced protein 8 like 1
ENSG00000185372	26693	OR2V1	olfactory receptor family 2 subfamily V member 1
ENSG00000185379	5892	RAD51D	RAD51 paralog D
ENSG00000185385	26333	OR7A17	olfactory receptor family 7 subfamily A member 17
ENSG00000185386	5600	MAPK11	mitogen-activated protein kinase 11
ENSG00000185404	93349	SP140L	SP140 nuclear body protein like
ENSG00000185414	51263	MRPL30	mitochondrial ribosomal protein L30
ENSG00000185418	123283	TARSL2	threonyl-tRNA synthetase like 2
ENSG00000185420	64754	SMYD3	SET and MYND domain containing 3
ENSG00000185432	25840	METTL7A	methyltransferase like 7A
ENSG00000185433	54072	LINC00158	long intergenic non-protein coding RNA 158
ENSG00000185436	163702	IFNLR1	interferon lambda receptor 1
ENSG00000185437	6450	SH3BGR	SH3 domain binding glutamate rich protein
ENSG00000185442	400451	FAM174B	family with sequence similarity 174 member B
ENSG00000185448	158724	FAM47A	family with sequence similarity 47 member A
ENSG00000185453	374920	C19orf68	chromosome 19 open reading frame 68
ENSG00000185467	402569	KPNA7	karyopherin subunit alpha 7
ENSG00000185475	374395	TMEM179B	transmembrane protein 179B
ENSG00000185477	285513	GPRIN3	GPRIN family member 3
ENSG00000185479	3854	KRT6B	keratin 6B
ENSG00000185480	55010	PARPBP	PARP1 binding protein
ENSG00000185482	246329	STAC3	SH3 and cysteine rich domain 3
ENSG00000185483	4919	ROR1	receptor tyrosine kinase like orphan receptor 1
ENSG00000185485	255812	SDHAP1	succinate dehydrogenase complex flavoprotein subunit A pseudogene 1
ENSG00000185499	4582	MUC1	mucin 1, cell surface associated
ENSG00000185504	80233	FAAP100	Fanconi anemia core complex associated protein 100
ENSG00000185507	3665	IRF7	interferon regulatory factor 7
ENSG00000185513	26013	L3MBTL1	l(3)mbt-like 1 (Drosophila)
ENSG00000185515	79184	BRCC3	BRCA1/BRCA2-containing complex subunit 3
ENSG00000185518	9899	SV2B	synaptic vesicle glycoprotein 2B
ENSG00000185519	348487	FAM131C	family with sequence similarity 131 member C
ENSG00000185522	256329	LMNTD2	lamin tail domain containing 2
ENSG00000185523	149643	SPATA45	spermatogenesis associated 45
ENSG00000185527	5148	PDE6G	phosphodiesterase 6G
ENSG00000185532	5592	PRKG1	protein kinase, cGMP-dependent, type I
ENSG00000185551	7026	NR2F2	nuclear receptor subfamily 2 group F member 2
ENSG00000185559	8788	DLK1	delta like non-canonical Notch ligand 1
ENSG00000185561	727910	TLCD2	TLC domain containing 2
ENSG00000185565	4045	LSAMP	limbic system-associated membrane protein
ENSG00000185567	113146	AHNAK2	AHNAK nucleoprotein 2
ENSG00000185585	169611	OLFML2A	olfactomedin like 2A
ENSG00000185591	6667	SP1	Sp1 transcription factor
ENSG00000185594	145946	SPATA8	spermatogenesis associated 8
